index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
18396, 19-20,FRA1,09/08/2019,Monaco,Olympique Lyonnais,0,3,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18397, 19-20,FRA1,10/08/2019,Olympique Marseille,Stade de Reims,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18398, 19-20,FRA1,10/08/2019,Angers SCO,Bordeaux,3,1,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18399, 19-20,FRA1,10/08/2019,Dijon,St Etienne,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18400, 19-20,FRA1,10/08/2019,Montpellier,Rennes,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18401, 19-20,FRA1,10/08/2019,Nice,Amiens SC,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18402, 19-20,FRA1,10/08/2019,Brest,Toulouse,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18403, 19-20,FRA1,11/08/2019,Lille,Nantes,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18404, 19-20,FRA1,11/08/2019,RC Strasbourg,FC Metz,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18405, 19-20,FRA1,11/08/2019,Paris Saint-Germain,Nimes Olympique,3,0,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802761868013461,0.9796567698115229
18406, 19-20,FRA1,16/08/2019,Olympique Lyonnais,Angers SCO,6,0,6,W,2,0.0,0.0,0.27902373123978264,-0.20485652273938207,0.3335227152246963,0.005641974452503593,0.0,0.0,1.2802761868013461,0.9796567698115229
18407, 19-20,FRA1,17/08/2019,Nantes,Olympique Marseille,0,0,0,D,2,0.0,0.0,0.002809544392181877,0.11516274318353961,-0.2482963757216871,0.2829811384019612,0.0,0.0,1.2802761868013461,0.9796567698115229
18408, 19-20,FRA1,17/08/2019,FC Metz,Monaco,3,0,3,W,2,0.0,0.0,0.002809544392181877,-0.04484688977792123,-0.2482963757216871,0.5603203023514187,0.0,0.0,1.2802761868013461,0.9796567698115229
18409, 19-20,FRA1,17/08/2019,Toulouse,Dijon,1,0,1,W,2,0.0,0.0,0.002809544392181877,-0.04484688977792123,-0.054356678739559315,0.2829811384019612,0.0,0.0,1.2802761868013461,0.9796567698115229
18410, 19-20,FRA1,17/08/2019,Bordeaux,Montpellier,1,1,0,D,2,0.0,0.0,0.002809544392181877,0.27517237614500045,-0.2482963757216871,0.005641974452503593,0.0,0.0,1.2802761868013461,0.9796567698115229
18411, 19-20,FRA1,17/08/2019,Nimes Olympique,Nice,1,2,-1,L,2,0.0,0.0,-0.1352975490316185,0.27517237614500045,0.13958301824256847,0.005641974452503593,0.0,0.0,1.2802761868013461,0.9796567698115229
18412, 19-20,FRA1,17/08/2019,Amiens SC,Lille,1,0,1,W,2,0.0,0.0,0.002809544392181877,0.11516274318353961,0.13958301824256847,0.005641974452503593,0.0,0.0,1.2802761868013461,0.9796567698115229
18413, 19-20,FRA1,18/08/2019,St Etienne,Brest,1,1,0,D,2,0.0,0.0,0.14091663781598227,-0.04484688977792123,-0.054356678739559315,0.005641974452503593,0.0,0.0,1.2802761868013461,0.9796567698115229
18414, 19-20,FRA1,18/08/2019,Stade de Reims,RC Strasbourg,0,0,0,D,2,0.0,0.0,0.14091663781598227,-0.20485652273938207,-0.054356678739559315,0.005641974452503593,0.0,0.0,1.2802761868013461,0.9796567698115229
18415, 19-20,FRA1,18/08/2019,Rennes,Paris Saint-Germain,2,1,1,W,2,0.0,0.0,0.002809544392181877,-0.20485652273938207,0.3335227152246963,-0.271697189496954,0.0,0.0,1.2802761868013461,0.9796567698115229
18416, 19-20,FRA1,24/08/2019,Dijon,Bordeaux,0,2,-2,L,3,-0.054356678739559315,0.2829811384019612,-0.1352975490316185,-0.04484688977792123,-0.054356678739559315,0.005641974452503593,0.002809544392181877,0.27517237614500045,1.347005006877963,1.0263030680627734
18417, 19-20,FRA1,24/08/2019,Amiens SC,Nantes,1,2,-1,L,3,-0.054356678739559315,-0.271697189496954,0.002809544392181877,0.11516274318353961,-0.2482963757216871,-0.271697189496954,0.002809544392181877,0.11516274318353961,1.2984332015668314,0.9372499682263375
18418, 19-20,FRA1,24/08/2019,Angers SCO,FC Metz,3,0,3,W,3,0.3335227152246963,0.005641974452503593,-0.1352975490316185,0.755201275029383,0.3335227152246963,-0.271697189496954,0.002809544392181877,-0.04484688977792123,1.3679472857599675,0.9810129055293934
