index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
35889, 19-20,ENG5,03/08/2019,Stockport County,Maidenhead United,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35890, 19-20,ENG5,03/08/2019,Aldershot,AFC Fylde,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35891, 19-20,ENG5,03/08/2019,Barnet,Yeovil Town,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35892, 19-20,ENG5,03/08/2019,Chesterfield,Dover Athletic,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35893, 19-20,ENG5,03/08/2019,Chorley FC,Bromley,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35894, 19-20,ENG5,03/08/2019,Dagenham and Redbridge,Woking,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35895, 19-20,ENG5,03/08/2019,Eastleigh,Notts County,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35896, 19-20,ENG5,03/08/2019,Ebbsfleet,Halifax,1,4,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35897, 19-20,ENG5,03/08/2019,Harrogate Town,Solihull,2,2,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35898, 19-20,ENG5,03/08/2019,Hartlepool,Sutton United,1,3,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35899, 19-20,ENG5,03/08/2019,Torquay,Boreham Wood,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
35900, 19-20,ENG5,03/08/2019,Wrexham,Barrow,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349580610846106,1.1870350412807056
